sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-03-06_12:40:59_000 PST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1882959351,-1.42952358722687,-0.01496884040534,21.07141113281250,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1882967684,-1.42948973178864,-0.01548158284277,21.07128906250000,0.01014438644052,-0.34911888837814,9.79065895080566,-5.37975740432739,0.03256849944592,-0.40245082974434
2,1882976017,-1.42924165725708,-0.01585276238620,21.07127380371094,0.01197748072445,-0.32838600873947,9.78476619720459,-5.38370275497437,0.04937144368887,-0.39087325334549
3,1882984350,-1.42881608009338,-0.01507238671184,21.07139587402344,-0.01536431815475,-0.33318042755127,9.76027870178223,-5.33252525329590,0.18686865270138,-0.37911632657051
4,1882992683,-1.42899727821350,-0.01488562580198,21.07209396362305,0.00131133710966,-0.34274587035179,9.79537582397461,-5.43557071685791,0.11274105310440,-0.30375918745995
5,1883001016,-1.42881107330322,-0.01455404143780,21.07198333740234,0.01319974474609,-0.35734114050865,9.79264354705811,-5.36159753799438,0.13443630933762,-0.40365475416183
6,1883009349,-1.42881453037262,-0.01442287862301,21.07257080078125,-0.00097307376564,-0.35663276910782,9.80552768707275,-5.41415834426880,0.10615820437670,-0.31669443845749
7,1883017682,-1.42882919311523,-0.01435135025531,21.07206726074219,0.01116142887622,-0.34149715304375,9.80618381500244,-5.38476562500000,0.10473661124706,-0.44979879260063
8,1883026015,-1.42854166030884,-0.01408475916833,21.07242584228516,0.00143880862743,-0.36020007729530,9.82071018218994,-5.37918138504028,0.12471570819616,-0.34431937336922
9,1883034348,-1.42862534523010,-0.01338463649154,21.07261657714844,0.00478759547696,-0.35045343637466,9.80739021301270,-5.39467811584473,0.17591856420040,-0.35702401399612
10,1883042681,-1.42810738086700,-0.01372441276908,21.07290649414062,0.00212582969107,-0.35789656639099,9.76716423034668,-5.35118484497070,0.05194566771388,-0.35338678956032
11,1883051014,-1.42820906639099,-0.01381667330861,21.07316398620605,0.00410058302805,-0.33563628792763,9.81390380859375,-5.39634275436401,0.08240099996328,-0.36619392037392
12,1883059347,-1.42748892307281,-0.01289553195238,21.07371139526367,0.00599610107020,-0.36000308394432,9.81252002716064,-5.32677459716797,0.20155841112137,-0.31962722539902
13,1883067680,-1.42679429054260,-0.01376555394381,21.07346534729004,0.00011803786765,-0.34732851386070,9.81781768798828,-5.30139112472534,-0.01015604473650,-0.42815473675728
14,1883076013,-1.42683792114258,-0.01346403826028,21.07264518737793,-0.00344723230228,-0.34114393591881,9.79441165924072,-5.41810226440430,0.13215665519238,-0.48505678772926
15,1883084346,-1.42633545398712,-0.01391285657883,21.07318878173828,0.00627601193264,-0.35510560870171,9.81930255889893,-5.32408571243286,0.03772976994514,-0.32321321964264
16,1883092679,-1.42596542835236,-0.01368135027587,21.07329177856445,-0.00698440568522,-0.34216955304146,9.81388664245605,-5.36916637420654,0.12069427222013,-0.37497964501381
17,1883101012,-1.42677783966064,-0.01357913762331,21.07276916503906,-0.00107768620364,-0.34959241747856,9.82221984863281,-5.48186874389648,0.10929593443871,-0.45407637953758
18,1883109345,-1.42644131183624,-0.01333733182400,21.07290649414062,-0.00383005314507,-0.33524623513222,9.78285980224609,-5.37259817123413,0.12092480808496,-0.36893466114998
19,1883117678,-1.42623531818390,-0.01326838973910,21.07338523864746,-0.00082680943888,-0.36347889900208,9.78773403167725,-5.35858774185181,0.10086885839701,-0.33963197469711
