sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-02-06_09:51:01_000 PST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1179174938,-0.38269394636154,-0.29014664888382,39.90201950073242,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1179191605,-0.36007350683212,-0.30861750245094,39.85881423950195,0.04389426484704,-0.06042497977614,9.77303028106689,0.10898844897747,-1.04828941822052,-0.91141510009766
2,1179208272,-0.34999489784241,-0.31826460361481,39.82295227050781,0.05239625275135,-0.06733674556017,9.76843452453613,0.18849027156830,-1.02121686935425,-0.89013099670410
3,1179224939,-0.35081908106804,-0.33310419321060,39.81891250610352,0.05345174670219,-0.04306389391422,9.74187660217285,0.12541899085045,-1.06714034080505,-0.86386519670486
4,1179241606,-0.33927872776985,-0.34821411967278,39.82615661621094,0.04193785786629,-0.07557132840157,9.77576351165771,0.20407558977604,-1.02692842483521,-0.86148321628571
5,1179258273,-0.33974793553352,-0.35875397920609,39.81600952148438,0.02463820017874,-0.03480922058225,9.75564002990723,0.14345031976700,-1.05238735675812,-0.86140626668930
6,1179274940,-0.33282041549683,-0.36217528581619,39.83781051635742,0.05147674679756,-0.08108416199684,9.76383876800537,0.10399396717548,-1.01472389698029,-0.93678444623947
7,1179291607,-0.33160519599915,-0.37103006243706,39.82678604125977,0.05064464733005,-0.04681678861380,9.74916934967041,0.20334562659264,-1.10151255130768,-0.86803996562958
8,1179308274,-0.32871767878532,-0.38022142648697,39.82931900024414,0.05291118100286,-0.08197940140963,9.75283527374268,0.14984071254730,-0.99583464860916,-0.94421219825745
9,1179324941,-0.32946544885635,-0.39192023873329,39.83594512939453,0.05019165948033,-0.03761938214302,9.75831317901611,0.14260511100292,-1.06060910224915,-0.91222184896469
10,1179341608,-0.32688942551613,-0.40429380536079,39.84268188476562,0.06796102970839,-0.06368917226791,9.77199840545654,0.16143043339252,-1.07286465167999,-0.93437683582306
11,1179358275,-0.32413884997368,-0.41897764801979,39.83140563964844,0.05825093761086,-0.04946733266115,9.76194190979004,0.20355051755905,-1.10554647445679,-0.79100984334946
